Age,Gender,Course,Year,Marital Status,Grade,How often have you felt down or hopeless?,"How often have you had trouble falling or staying asleep, or slept too much?",How often have you felt tired or had little energy?,"How often have you felt nervous, anxious, or on edge?",How often have you become easily annoyed or irritable?,How frequently do you experience panic attacks?,"On average, how many hours per day do you spend on social media?",How many alcoholic drinks/beer do you consume in a typical week?,How many hours of sleep do you usually get on a typical night?,How many hours a day do you put aside for studying?
19,Male,Medicine and Surgery ,Fifth Year,Single,Second Class Upper,Occasionally,Frequently,Occasionally,Frequently,Sometimes,Occasionally,0-2 hours,0,5-6 hours,0
25,Male,Computer Science ,Third Year,Single,First Class,Occasionally,Almost constantly,Not at all,Occasionally,Sometimes,Never,7-8 hours,,5-6 hours,1-2 hours
24,Female,BSc Computer Science ,Third Year,Single,First Class,Occasionally,Frequently,Occasionally,Occasionally,Sometimes,Never,5-6 hours,0,5-6 hours,1-2 hours
24,Female,Nursing Science ,Fourth Year,Single,Second Class Lower,Occasionally,Frequently,Occasionally,Occasionally,Sometimes,Rarely,5-6 hours,0,5-6 hours,3-4 hours
25,Female,Computer science ,Third Year,Single,Second Class Lower,Almost constantly,Frequently,Occasionally,Occasionally,Sometimes,Frequently,3-4 hours,0,5-6 hours,3-4 hours
25,Female,Env sci,Fifth Year,Single,Second Class Upper,Occasionally,,Occasionally,Occasionally,Sometimes,Never,5-6 hours,0,5-6 hours,3-4 hours
40,Female,Chatered accountant,Second Year,Single,Second Class Upper,Frequently,Almost constantly,Occasionally,Occasionally,Sometimes,Never,0-2 hours,0,Less than 5 hours,
17,Male,Computer Science,First Year,Single,Second Class Lower,Almost constantly,Frequently,,Almost constantly,Sometimes,Never,3-4 hours,,7-8 hours,3-4 hours
18,Female,Sociology ,Post Graduate,Single,Third Class,Occasionally,Frequently,Frequently,Occasionally,Sometimes,Rarely,5-6 hours,0,5-6 hours,3-4 hours
20,Female,Statistics ,Third Year,Single,Second Class Upper,Occasionally,Occasionally,Occasionally,Occasionally,Sometimes,Never,5-6 hours,0,7-8 hours,3-4 hours
24,Female,Electrical and electronics engineering ,Second Year,Single,First Class,Frequently,Almost constantly,Occasionally,Frequently,Sometimes,Never,3-4 hours,0,Less than 5 hours,5-6 hours
43,Female,Chatered accountant,Third Year,Single,Second Class Lower,Occasionally,Frequently,Occasionally,Occasionally,Sometimes,Never,3-4 hours,0,5-6 hours,1-2 hours
18,Female,Psychology,Third Year,Single,Second Class Upper,Occasionally,Frequently,Occasionally,Frequently,Sometimes,Occasionally,5-6 hours,0,5-6 hours,1-2 hours
16,Female,Computer science ,First Year,Single,Second Class Lower,Not at all,Not at all?,Almost constantly,Occasionally,Sometimes,Frequently,0-2 hours,0,Less than 5 hours,3-4 hours
20,Female,Computer science ,Third Year,Single,Second Class Upper,Occasionally,Almost constantly,Frequently,Frequently,Always,Occasionally,3-4 hours,,5-6 hours,1-2 hours
20,Female,Engineering ,Fourth Year,Single,First Class,Occasionally,Occasionally,Occasionally,Occasionally,Sometimes,Never,3-4 hours,0,5-6 hours,1-2 hours
22,Male,Artificial Intelligence ,Post Graduate,Single,First Class,Occasionally,Frequently,Frequently,,Sometimes,Occasionally,5-6 hours,0,7-8 hours,1-2 hours
16,Male,Engineering ,Third Year,Single,Second Class Lower,Occasionally,Frequently,Occasionally,Occasionally,Sometimes,Never,7-8 hours,0,Less than 5 hours,3-4 hours
25,Female,Law,Third Year,Single,Third Class,Occasionally,Not at all?,Occasionally,Occasionally,Sometimes,Never,3-4 hours,0,9 or more hours,0
22,Female,Law,Third Year,Single,First Class,Occasionally,Occasionally,Occasionally,Occasionally,Sometimes,Rarely,7-8 hours,0,5-6 hours,3-4 hours
21,Male,Construction mgt,Third Year,Single,Second Class Upper,Occasionally,Frequently,,Not at all,Always,Never,3-4 hours,0,5-6 hours,0
22,Male,Accounting ,Third Year,Single,Second Class Lower,Frequently,Occasionally,Occasionally,Occasionally,,Occasionally,7-8 hours,0,5-6 hours,0
17,Male,Statistics ,Second Year,Single,First Class,Almost constantly,Frequently,Frequently,Occasionally,Sometimes,Rarely,3-4 hours,3 to 4,Less than 5 hours,3-4 hours
18,Female,Computer Science ,Second Year,Single,First Class,Occasionally,Not at all?,Almost constantly,Occasionally,Sometimes,Never,0-2 hours,0,Less than 5 hours,3-4 hours
22,Male,ux/ui design,Post Graduate,Single,Second Class Upper,Occasionally,Not at all?,Frequently,Occasionally,Sometimes,Never,5-6 hours,0,Less than 5 hours,0
20,Male,Economics ,Fourth Year,Single,Second Class Upper,Occasionally,Almost constantly,Frequently,Occasionally,,Never,3-4 hours,0,5-6 hours,3-4 hours
25,Male,Electrical and electronics engineering ,Third Year,Single,Second Class Upper,Almost constantly,Frequently,Occasionally,Occasionally,Sometimes,Never,0-2 hours,0,7-8 hours,0
22,Male,Computer Engineering ,Third Year,Single,First Class,Occasionally,Not at all?,Almost constantly,Occasionally,Sometimes,Never,3-4 hours,0,5-6 hours,3-4 hours
20,Female,Bachelor,First Year,Single,Second Class Lower,Occasionally,Almost constantly,Almost constantly,Almost constantly,Sometimes,Never,7-8 hours,0,5-6 hours,1-2 hours
28,Female,Microbiology ,Second Year,Single,Second Class Upper,Not at all,Frequently,Not at all,Occasionally,Sometimes,Frequently,5-6 hours,0,7-8 hours,1-2 hours
20,Female,Accounting ,Fourth Year,Single,Second Class Upper,Occasionally,Occasionally,Occasionally,Occasionally,Sometimes,Occasionally,5-6 hours,0,5-6 hours,3-4 hours
22,Male,Computer Science ,Second Year,Single,First Class,Occasionally,Frequently,Frequently,Frequently,Never,Occasionally,3-4 hours,0,5-6 hours,1-2 hours
18,Male,Chatered accountant,Fourth Year,Single,Second Class Upper,Occasionally,Frequently,Occasionally,Occasionally,Sometimes,Rarely,0-2 hours,0,5-6 hours,7 and above
20,Male,Nursing science ,Post Graduate,Single,Second Class Upper,Occasionally,,Occasionally,Occasionally,Sometimes,Occasionally,,0,5-6 hours,3-4 hours
27,Male,Psychology ,Post Graduate,Single,Second Class Upper,Occasionally,Frequently,Frequently,Occasionally,Sometimes,Frequently,3-4 hours,0,7-8 hours,1-2 hours
